,text
716, Cozaar Comp Cozaar Comp Forte Orifarm : Kapitell preparat-referanse: Komplett Felleskatalogtekst For utfyllende informasjon  se Felleskatalogtekst for  Cozaar Comp  Cozaar Comp Forte «Organon»
717, Cozaar Comp Cozaar Comp Forte Orifarm : Kapitell notification: Miljø og legemidler                C03A A03                        Hydroklortiazid                                                                        PNEC: 1 000 μg/liter  Salgsvekt: 1 119 39986 kg   Miljørisiko: Bruk av hydroklortiazid gir ubetydelig risiko for miljøpåvirkning.   Bioakkumulering: Hydroklortiazid har lavt potensiale for bioakkumulering.  Nedbrytning: Hydroklortiazid er potensielt persistent.   Miljørisiko er beregnet utifra forholdet mellom forventet konsentrasjon i vann (Predicted Environmental Concentration - PEC) og høyeste sikre konsentrasjon (Predicted No Effect Concentration - PNEC). PEC er beregnet utifra årlig salgsvekt i Norge.                         Miljøinformasjonen (datert 01.09.2020) er utarbeidet av MSD.                       Les mer på Fass     Se miljøinfo for virkestoff i samme ATC-gruppe
718, Cozaar Comp Cozaar Comp Forte Orifarm : Kapitell deklarasjon: TABLETTER  filmdrasjerte 50 mg/12 5 mg: Cozaar Comp: Hver tablett inneh.: Losartankalium tilsv. losartan 50 mg  hydroklortiazid 12 5 mg. Se for øvrig pakningsvedlegget.TABLETTER  filmdrasjerte 100 mg/12 5 mg: Cozaar Comp: Hver tablett inneh.: Losartankalium tilsv. losartan 100 mg  hydroklortiazid 12 5 mg. Se for øvrig pakningsvedlegget.TABLETTER  filmdrasjerte 100 mg/25 mg: Cozaar Comp Forte: Hver tablett inneh.: Losartankalium tilsv. losartan 100 mg  hydroklortiazid 25 mg. Se for øvrig pakningsvedlegget.
719, Cozaar Comp Cozaar Comp Forte Orifarm : Kapitell LastDateChangedSection: Sist endret: 14.08.2023               (priser og ev. refusjon oppdateres hver 14. dag)
720, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell indikasjon: IndikasjonerBehandling av essensiell hypertensjon hos pasienter der blodtrykket ikke er tilstrekkelig kontrollert ved bruk av losartan eller hydroklortiazid alene.               Norsk legemiddelhåndbok: Hypertensjon
721, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell spc-preparatomtale: SPC (preparatomtale)    Losartan/Hydrochlorothiazide Krka TABLETTER  filmdrasjerte 50 mg/12 5 mgGå til godkjent preparatomtale   Losartan/Hydrochlorothiazide Krka TABLETTER  filmdrasjerte 100 mg/12 5 mgGå til godkjent preparatomtale   Losartan/Hydrochlorothiazide Krka TABLETTER  filmdrasjerte 100 mg/25 mgGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
722, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell vnrtabell: Pakninger  priser og refusjon  Losartan/Hydrochlorothiazide Krka  TABLETTER  filmdrasjerte:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     50 mg/12 5 mg 28 stk. (blister) 086414 Blå resept 181 60 (trinnpris 72 30) C   98 stk. (blister) 086426 Blå resept 545 10 (trinnpris 114 90) C   100 mg/12 5 mg 28 stk. (blister) 186085 Blå resept 210 70 (trinnpris 72 30) C   98 stk. (blister) 529090 Blå resept 646 90 (trinnpris 128 20) C   100 mg/25 mg 28 stk. (blister) 086437 Blå resept 236 40 (trinnpris 70 10) C   98 stk. (blister) 086448 Blå resept 736 60 (trinnpris 147 80) C
723, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell generisk-bytte: Medisinbytte       Losartan/Hydrochlorothiazide Krka TABLETTER  filmdrasjerte 50 mg/12 5 mg             Byttegruppe 000244      Preparat Firma Legemiddelform Styrke Varenr Pakning     Cozaar Comp Organon tabl. 50 mg/12 5 mg 416446 98 stk. (blister.)   Cozaar Comp Orifarm tabl. 50 mg/12 5 mg 018353 98 stk. (kalenderpakn.)   Losartan/Hydrochlorothiazide Krka KRKA tabl. 50 mg/12 5 mg 086414 28 stk. (blister)   Losartan/Hydrochlorothiazide Krka KRKA tabl. 50 mg/12 5 mg 086426 98 stk. (blister)                        Losartan/Hydrochlorothiazide Krka TABLETTER  filmdrasjerte 100 mg/12 5 mg             Byttegruppe 001553      Preparat Firma Legemiddelform Styrke Varenr Pakning     Cozaar Comp Organon tabl. 100 mg/12 5 mg 048297 98 stk. (blister)   Cozaar Comp Orifarm tabl. 100 mg/12 5 mg 486172 98 stk. (blister)   Losartan/Hydrochlorothiazide Krka KRKA tabl. 100 mg/12 5 mg 186085 28 stk. (blister)   Losartan/Hydrochlorothiazide Krka KRKA tabl. 100 mg/12 5 mg 529090 98 stk. (blister)                        Losartan/Hydrochlorothiazide Krka TABLETTER  filmdrasjerte 100 mg/25 mg             Byttegruppe 000966      Preparat Firma Legemiddelform Styrke Varenr Pakning     Cozaar Comp Forte Organon tabl. 100 mg/25 mg 003023 98 stk. (blister)   Cozaar Comp Forte Orifarm tabl. 100 mg/25 mg 062010 98 stk. (blister)   Losartan/Hydrochlorothiazide Krka KRKA tabl. 100 mg/25 mg 086437 28 stk. (blister)   Losartan/Hydrochlorothiazide Krka KRKA tabl. 100 mg/25 mg 086448 98 stk. (blister)                  Gjelder medisinbytte (generisk bytte) i apotek. For mer informasjon om medisinbytte og byttelisten  se https://legemiddelverket.no/offentlig-finansiering/medisinbytte-i-apotek For medisinbytte ved institusjoner henvises til §7 i Forskrift om legemiddelhåndtering for virksomheter og helsepersonell som yter helsehjelp
724, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell preparat-referanse: Komplett Felleskatalogtekst For utfyllende informasjon  se Felleskatalogtekst for  Cozaar Comp  Cozaar Comp Forte «Organon»
725, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell notification: Miljø og legemidler                C03A A03                        Hydroklortiazid                                                                        PNEC: 1 000 μg/liter  Salgsvekt: 1 119 39986 kg   Miljørisiko: Bruk av hydroklortiazid gir ubetydelig risiko for miljøpåvirkning.   Bioakkumulering: Hydroklortiazid har lavt potensiale for bioakkumulering.  Nedbrytning: Hydroklortiazid er potensielt persistent.   Miljørisiko er beregnet utifra forholdet mellom forventet konsentrasjon i vann (Predicted Environmental Concentration - PEC) og høyeste sikre konsentrasjon (Predicted No Effect Concentration - PNEC). PEC er beregnet utifra årlig salgsvekt i Norge.                         Miljøinformasjonen (datert 01.09.2020) er utarbeidet av MSD.                       Les mer på Fass     Se miljøinfo for virkestoff i samme ATC-gruppe
726, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell BasedOnSPC: Basert på SPC godkjent av SLV/EMA: 13.11.2020
727, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell deklarasjon: TABLETTER  filmdrasjerte 50 mg/12 5 mg  100 mg/12 5 mg og  100 mg/25 mg: Hver tablett inneh.: Losartankalium 50 mg  resp. 100 mg og 100 mg  hydroklortiazid 12 5 mg  resp. 12 5 mg og 25 mg  laktose  hjelpestoffer. Fargestoff: 50 mg/12 5 mg og 100 mg/25 mg: Kinolingult (E 104)  titandioksid (E 171). 100 mg/12 5 mg: Titandioksid (E 171).
728, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell dosering-strukturert: Dosering                 Se SPC.                  Administrering Skal svelges med et glass vann. Tas med eller uten mat. Tabletter 50 mg/12 5 mg:  Kan deles (delestrek) for å lette svelging  ikke for å dele i like doser.              Legemiddelfoto               Losartan/Hydrochlorothiazide Krka «KRKA» tabletter  filmdrasjerte 50 mg/12 5 mg         Form: Oval   Overflateform: Konveks   Deling: Delestrek   Mål (lengde × bredde): 12.0x5.0 mm   Farge: Gul   Informasjon fra legemiddelfirma: Delestrek for lettere svelging      Farge og størrelse på kapsel/tablett kan avvike noe.            Losartan/Hydrochlorothiazide Krka «KRKA» tabletter  filmdrasjerte 100 mg/12 5 mg         Form: Oval   Deling: Uten delestrek/-kors   Mål (lengde × bredde): 13.0x8.0 mm   Farge: Hvit      Farge og størrelse på kapsel/tablett kan avvike noe.            Losartan/Hydrochlorothiazide Krka «KRKA» tabletter  filmdrasjerte 100 mg/25 mg         Form: Oval   Overflateform: Konveks   Deling: Uten delestrek/-kors   Mål (lengde × bredde): 15.0x8.0 mm   Farge: Gul      Farge og størrelse på kapsel/tablett kan avvike noe.
729, Losartan/Hydrochlorothiazide Krka KRKA (KRKA Sverige AB) : Kapitell LastDateChangedSection: Sist endret: 19.05.2021               (priser og ev. refusjon oppdateres hver 14. dag)
730, Simvastatin Bluefish Bluefish : Kapitell indikasjon: Indikasjoner  Hyperkolesterolemi: Behandling av primær hyperkolesterolemi eller blandet dyslipidemi  som tillegg til diett  når respons på diett og andre ikke-farmakologiske tiltak (f.eks. fysisk trening og vektreduksjon) ikke er tilstrekkelig. Behandling av homozygot familiær hyperkolesterolemi (HoFH) som tillegg til diett og annen lipidsenkende behandling (f.eks. LDL-aferese) eller hvis slik behandling ikke er egnet. Kardiovaskulær profylakse: Reduksjon av kardiovaskulær mortalitet eller morbiditet hos pasienter med manifest aterosklerotisk kardiovaskulær sykdom eller diabetes mellitus  med enten normalt eller forhøyet kolesterolnivå  som et tillegg til korreksjon av andre risikofaktorer og annen hjertebeskyttende behandling.   Norsk legemiddelhåndbok: ArteriesykdommerNorsk legemiddelhåndbok: HyperlipidemiNorsk legemiddelhåndbok: Kolesterolsenkende behandling ved diabetes
731, Simvastatin Bluefish Bluefish : Kapitell spc-preparatomtale: SPC (preparatomtale)    Simvastatin Bluefish TABLETTER  filmdrasjerte 10 mgGå til godkjent preparatomtale   Simvastatin Bluefish TABLETTER  filmdrasjerte 20 mgGå til godkjent preparatomtale   Simvastatin Bluefish TABLETTER  filmdrasjerte 40 mgGå til godkjent preparatomtale   Simvastatin Bluefish TABLETTER  filmdrasjerte 80 mgGå til godkjent preparatomtale    Lenkene går til godkjente preparatomtaler (SPC) på Legemiddelverkets nettside. Legemidler sentralt godkjent i EU/EØS lenkes til preparatomtaler på nettsiden til The European Medicines Agency (EMA). For sentralt godkjente legemidler ligger alle styrker og legemiddelformer etter hverandre i samme dokument.
732, Simvastatin Bluefish Bluefish : Kapitell vnrtabell: Pakninger  priser og refusjon  Simvastatin Bluefish  TABLETTER  filmdrasjerte:     Styrke Pakning                    Varenr. Refusjon Pris (kr) R.gr.     10 mg 30 stk. (blister) 506772 Blå resept 122 70 (trinnpris 66 80) C   100 stk. (blister) 170309 Blå resept 324 40 (trinnpris 65 20) C   20 mg 30 stk. (blister) 482782 Blå resept 140 40 (trinnpris 81 70) C   100 stk. (blister) 513195 Blå resept 383 30 (trinnpris 80 70) C   40 mg 30 stk. (blister) 147566 Blå resept 204 10 (trinnpris 95 10) C   100 stk. (blister) 038494 Blå resept 595 80 (trinnpris 95 50) C   80 mg 100 stk. (blister) 416135 Blå resept 1 054 50 (trinnpris 103 70) C
733, Simvastatin Bluefish Bluefish : Kapitell bivirkning: Bivirkninger Gå til bivirkningssøk                 Frekvensintervaller: Svært vanlige (≥1/10)  vanlige (≥1/100 til <1/10)  mindre vanlige (≥1/1000 til <1/100)  sjeldne (≥1/10 000 til <1/1000)  svært sjeldne (<1/10 000) og ukjent frekvens.                        Bivirkningsoppslag             Endre sortering til Frekvens      Organklasse Bivirkning   Blod/lymfe   Sjeldne Anemi   Gastrointestinale   Sjeldne Abdominalsmerter  diaré  dyspepsi  flatulens  forstoppelse  kvalme  oppkast  pankreatitt   Generelle   Sjeldne Asteni    Hos et fåtall pasienter er det rapportert et overfølsomhetssyndrom bestående av ett eller flere av følgende tilstander: Angioødem  lupuslignende syndrom  revmatisk polymyalgi  dermatomyositt  vaskulitt  trombocytopeni  eosinofili  økt SR  artritt og artralgi  urtikaria  fotosensitivitet  feber  flushing  dyspné og malaise   Hud   Sjeldne Alopesi  kløe  utslett   Svært sjeldne Legemiddelinduserte lichenoide utbrudd   Immunsystemet   Svært sjeldne Anafylaktisk reaksjon   Kjønnsorganer/bryst   Svært sjeldne Gynekomasti   Ukjent frekvens Erektil dysfunksjon   Lever/galle   Sjeldne Hepatitt/gulsott   Svært sjeldne Fatal og ikke-fatal leversvikt   Luftveier   Ukjent frekvens Interstitiell lungesykdom   Muskel-skjelettsystemet   Sjeldne Muskelkramper  myalgi  myopati (inkl. myositt)  rabdomyolyse med eller uten akutt nyresvikt   Svært sjeldne Muskelruptur   Ukjent frekvens Immunmediert nekrotiserende myopati  senelidelse (av og til med komplisert ruptur)   Nevrologiske   Sjeldne Hodepine  kognitiv svikt (f.eks. amnesi  glemsomhet  svekket hukommelse  forvirring)1  parestesi  perifer nevropati  svimmelhet   Svært sjeldne Svekket hukommelse   Ukjent frekvens Myasthenia gravis   Psykiske   Svært sjeldne Insomni   Ukjent frekvens Depresjon   Undersøkelser   Sjeldne Økning av HbA1c og fastende nivåer av serumglukose  økning i serumtransaminaser (ALAT  ASAT  GGT)  økt ALP  økt CK i serum   Øye   Sjeldne Synssvekkelse  tåkesyn   Ukjent frekvens Okulær myasteni      1Rapportert etter markedsføring. Tilfellene er generelt ikke alvorlige og er reversible ved seponering av statin med variable tidspunkt for symptomdebut (1 dag til år) og for når symptomene opphører (median 3 uker).  Barn og ungdom (10-17 år): Bivirkningsprofil generelt lik placebo. Doser >40 mg er ikke undersøkt. Langtidseffekt på fysisk  intellektuell og seksuell modning er ukjent.  Endre sortering til Organklasse      Frekvens Bivirkning   Sjeldne   Blod/lymfe Anemi   Gastrointestinale Abdominalsmerter  diaré  dyspepsi  flatulens  forstoppelse  kvalme  oppkast  pankreatitt   Generelle Asteni    Hos et fåtall pasienter er det rapportert et overfølsomhetssyndrom bestående av ett eller flere av følgende tilstander: Angioødem  lupuslignende syndrom  revmatisk polymyalgi  dermatomyositt  vaskulitt  trombocytopeni  eosinofili  økt SR  artritt og artralgi  urtikaria  fotosensitivitet  feber  flushing  dyspné og malaise   Hud Alopesi  kløe  utslett   Lever/galle Hepatitt/gulsott   Muskel-skjelettsystemet Muskelkramper  myalgi  myopati (inkl. myositt)  rabdomyolyse med eller uten akutt nyresvikt   Nevrologiske Hodepine  kognitiv svikt (f.eks. amnesi  glemsomhet  svekket hukommelse  forvirring)1  parestesi  perifer nevropati  svimmelhet   Undersøkelser Økning av HbA1c og fastende nivåer av serumglukose  økning i serumtransaminaser (ALAT  ASAT  GGT)  økt ALP  økt CK i serum   Øye Synssvekkelse  tåkesyn   Svært sjeldne   Hud Legemiddelinduserte lichenoide utbrudd   Immunsystemet Anafylaktisk reaksjon   Kjønnsorganer/bryst Gynekomasti   Lever/galle Fatal og ikke-fatal leversvikt   Muskel-skjelettsystemet Muskelruptur   Nevrologiske Svekket hukommelse   Psykiske Insomni   Ukjent frekvens   Kjønnsorganer/bryst Erektil dysfunksjon   Luftveier Interstitiell lungesykdom   Muskel-skjelettsystemet Immunmediert nekrotiserende myopati  senelidelse (av og til med komplisert ruptur)   Nevrologiske Myasthenia gravis   Psykiske Depresjon   Øye Okulær myasteni      1Rapportert etter markedsføring. Tilfellene er generelt ikke alvorlige og er reversible ved seponering av statin med variable tidspunkt for symptomdebut (1 dag til år) og for når symptomene opphører (median 3 uker).  Barn og ungdom (10-17 år): Bivirkningsprofil generelt lik placebo. Doser >40 mg er ikke undersøkt. Langtidseffekt på fysisk  intellektuell og seksuell modning er ukjent.                     Klasseeffekter              Tilleggsbivirkninger rapportert for enkelte statiner: Søvnforstyrrelser  mareritt  seksuell dysfunksjon  diabetes mellitus (frekvens avhenger av risikofaktorer (fastende blodglukose ≥5 6 mmol/liter  BMI >30 kg/m2  forhøyede triglyserider  forhøyet blodtrykk i anamnesen)).                        Tilleggsbivirkninger rapportert for enkelte statiner: Søvnforstyrrelser  mareritt  seksuell dysfunksjon  diabetes mellitus (frekvens avhenger av risikofaktorer (fastende blodglukose ≥5 6 mmol/liter  BMI >30 kg/m2  forhøyede triglyserider  forhøyet blodtrykk i anamnesen)).                                  Rapportering av bivirkninger
734, Simvastatin Bluefish Bluefish : Kapitell kontraindikasjon: KontraindikasjonerOverfølsomhet for innholdsstoffene. Aktiv leversykdom eller vedvarende økning av serumtransaminaser av ukjent årsak. Graviditet og amming. Samtidig inntak av potente CYP3A4-hemmere (legemidler som øker AUC ca. 5 ganger eller mer) (f.eks. itrakonazol  ketokonazol  posakonazol  vorikonazol  hiv-proteasehemmere (f.eks. nelfinavir)  boceprevir  telaprevir  erytromycin  klaritromycin  telitromycin  nefazodon og legemidler som inneholder kobicistat)  gemfibrozil  ciklosporin og danazol. Samtidig bruk av lomitapid og doser >40 mg simvastatin hos pasienter med HoFH.
735, Simvastatin Bluefish Bluefish : Kapitell generisk-bytte: Medisinbytte       Simvastatin Bluefish TABLETTER  filmdrasjerte 10 mg             Byttegruppe 000251      Preparat Firma Legemiddelform Styrke Varenr Pakning     Simvastatin Bluefish Bluefish tabl. 10 mg 506772 30 stk. (blister)   Simvastatin Bluefish Bluefish tabl. 10 mg 170309 100 stk. (blister)   Simvastatin Sandoz Sandoz tabl. 10 mg 129261 90 stk. (boks)   Zocor Organon tabl. 10 mg 454165 98 stk. (blister)                        Simvastatin Bluefish TABLETTER  filmdrasjerte 20 mg             Byttegruppe 000252      Preparat Firma Legemiddelform Styrke Varenr Pakning     Simvastatin Bluefish Bluefish tabl. 20 mg 482782 30 stk. (blister)   Simvastatin Bluefish Bluefish tabl. 20 mg 513195 100 stk. (blister)   Simvastatin Sandoz Sandoz tabl. 20 mg 551446 90 stk. (blister)   Zocor Organon tabl. 20 mg 454199 98 stk. (blister)                        Simvastatin Bluefish TABLETTER  filmdrasjerte 40 mg             Byttegruppe 000253      Preparat Firma Legemiddelform Styrke Varenr Pakning     Simvastatin Bluefish Bluefish tabl. 40 mg 147566 30 stk. (blister)   Simvastatin Bluefish Bluefish tabl. 40 mg 038494 100 stk. (blister)   Simvastatin Sandoz Sandoz tabl. 40 mg 573330 90 stk. (blister)   Zocor Organon tabl. 40 mg 382531 98 stk. (blister)                        Simvastatin Bluefish TABLETTER  filmdrasjerte 80 mg             Byttegruppe 000254      Preparat Firma Legemiddelform Styrke Varenr Pakning     Simvastatin Bluefish Bluefish tabl. 80 mg 416135 100 stk. (blister)   Simvastatin HEXAL HEXAL tabl. 80 mg 477884 100 stk. (blister)                  Gjelder medisinbytte (generisk bytte) i apotek. For mer informasjon om medisinbytte og byttelisten  se https://legemiddelverket.no/offentlig-finansiering/medisinbytte-i-apotek For medisinbytte ved institusjoner henvises til §7 i Forskrift om legemiddelhåndtering for virksomheter og helsepersonell som yter helsehjelp
736, Simvastatin Bluefish Bluefish : Kapitell graviditet-amming: Graviditet  amming og fertilitet Se Kontraindikasjoner.               GraviditetFosterets nivå av mevalonat (forstadium til kolesterol) kan reduseres. Skal ikke brukes av kvinner som er gravide  som forsøker å bli gravide eller mistenker at de er gravide.               AmmingOvergang i morsmelk er ukjent. Skal ikke brukes ved amming.               FertilitetIngen data.
737, Simvastatin Bluefish Bluefish : Kapitell BasedOnSPC: Basert på SPC godkjent av SLV/EMA: 01.06.2023
738, Simvastatin Bluefish Bluefish : Kapitell deklarasjon: TABLETTER  filmdrasjerte 10 mg  20 mg  40 mg og  80 mg: Hver tablett inneh.: Simvastatin 10 mg  resp. 20 mg  40 mg og 80 mg  laktose  hjelpestoffer. Fargestoff: Jernoksid (E 172)  titandioksid (E 171).
739, Simvastatin Bluefish Bluefish : Kapitell egenskap: Egenskaper og miljø  VirkningsmekanismeInaktivt lakton som hydrolyseres i leveren til aktiv betahydroksysyre  en potent hemmer av det hastighetsbegrensende enzym i kolesterolsyntesen. Reduserer VLDL-kolesterol og stimulerer LDL-reseptoren. Dette fører til redusert produksjon og økt katabolisme av LDL-kolesterol. Reduserer både normale og forhøyede konsentrasjoner av LDL-kolesterol. Gir betydelig reduksjon i apolipoprotein B  moderat økning i HDL-kolesterol og reduserer plasmatriglyserider. Reduserer forholdet mellom totalkolesterol og HDL-kolesterol og mellom LDL-kolesterol og HDL-kolesterol. Hos pasienter med hjerteinfarkt og/eller angina pectoris øker overlevelsen signifikant ved reduksjon i risiko for død  død pga. koronar hjertesykdom og ikke-dødelig hjerteinfarkt. Risikoen for revaskulariseringsinngrep og risiko for slag og TIA reduseres signifikant. Hos pasienter med diabetes mellitus reduseres i tillegg risikoen for makrovaskulære komplikasjoner  amputasjon av underekstremiteter og leggsår.               AbsorpsjonGod. Omfattende first pass-ekstraksjon i lever (virkningsstedet og hvor hydrolyse til aktiv form skjer)  med påfølgende utskillelse direkte via galle. Systemisk tilgjengelighet av aktiv betahydroksysyre er <5%. Tmax for aktive hemmere 1-2 timer.               Proteinbinding>95%.               HalveringstidCa. 2 timer etter i.v. injeksjon av hovedmetabolitten.               MetabolismeMetaboliseres av CYP3A4 til hovedmetabolitten aktiv betahydroksysyre og 4 andre aktive metabolitter.               UtskillelsePrimært i feces via galle  en mindre del via nyrene.                      Miljø og legemidler                C10A A01                         Simvastatin                                                                           PNEC: 0 2 μg/liter  Salgsvekt: 1 385 38476 kg   Miljørisiko: Bruk av simvastatin gir middels høy risiko for miljøpåvirkning.   Bioakkumulering: Simvastatin har lavt potensiale for bioakkumulering.  Nedbrytning: Simvastatin brytes ned i miljøet.   Miljørisiko er beregnet utifra forholdet mellom forventet konsentrasjon i vann (Predicted Environmental Concentration - PEC) og høyeste sikre konsentrasjon (Predicted No Effect Concentration - PNEC). PEC er beregnet utifra årlig salgsvekt i Norge.                          Miljøinformasjonen (datert 18.12.2019) er utarbeidet av MSD.                        Les mer på Fass     Se miljøinfo for virkestoff i samme ATC-gruppe
